"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"2872","None","","","2007-22","","","Unit E, Bay 2, Shelf 7","","","","","Accessioned 30 January 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Room Bookings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conference Services","","","","","1 file folder","","","May to December 2000","","","","FC-35","","","","","Conference Services","","","",""
"2873","None","","","2007-23","","","Unit E, Bay 2, Shelf 7","","","","","Accessioned 31 January 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Room Bookings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conference Services","","","","","2 file folders","","","January 1997 to February 1998","","","","FC-34","","","","","Conference Services","","","",""
"2874","None","","","2007-24","","","Unit B, Bay 4, Shelf 4","","","","","Accessioned 1 February 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Women in Science: Because science needs women
Centre for Women in Science named for Dr. Catherine Wallace
New Centre for women in science at Mount Saint Vincent, In Atlantic Science, vol. 9, no. 1, Fall 1993.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1993","","","","None","","","","","Centre for Women in Science","","","",""
"2875","None","","","2007-25","","","Unit B, Bay 4, Shelf 4","","","","","Accessioned 1 February 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","Memo regarding: Approved operating and capital budgets for fiscal 1992-93
Memo regarding: Third quarter financial results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","1992","","","","None","","","","","Office of the Vice-President (Administration)","","","",""
"2876","None","","","2007-26","","","Faculty Writings","","","","","February 2007","","","My Graph Theory Colouring Book, by Suzanne Seager","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Suzanne Seager, Mathematics & Computer Studies","","","","","1 file folder","","","2007","","","","None","","","","","Suzanne Seager","","","",""
"2877","None","","","2007-27","","","Unit B, Bay 4, Shelf 4","","","","","February 14, 2007","","","MSVU Library: This week in circulation, Vol. 1, No. 3, October 27, 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Terry Paris, Library","","","","","1 file folder","","","2006","","","","None","","","","","Library","","","",""
"2878","None","","","2007-28","","","Unit C, Bay 4, Shelf 4","","","","","Accessioned 15 February 2007, as it is not known when the material was received and it had never been accessioned into the collection","","","","World University Service of Canada","WUSC Regional Conference - Fredricton, NB (January 1965)","","","","","","","","","","","WUSC Shore Campaign at MSVC (1964-1965)","","","","","","","","","","","WUSC - 1964-1965","","","","","","","","","","","WUSC - 1963-1964","","","","","","","","","","","WUSC - 1962-1963","","","","","","","","","","","WUSC - 1961-1962","","","","WUSC - 1958-1959, pamphlets and brochures","WUSC - Reports from Canadian Universities for 1959-1960","WUSC - Memorandum of Agreement","None","","","","","1 box","","","1958-1965","","","","None","","","","","World University Service of Canada","","","",""
"2879","none","","","2007-29","","","Publications","","","","","February 2007","","","Research Matters @ MSVU newsletter, vol. 1, no. 1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","February 2007","","","","None","","","","","Research Office","","","",""
"2880","None","","","2007-30","","","Photograph collection #2682","","","","","February 21, 2007","","","Photograph of Secretarial Studies class 1930-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae Office","","","","","1 photograph","","","1930-1931","","","","None","","","","","Photograph Collection","","","",""
"2881","None","","","2007-31","","","Unit C, Bay 4, Shelf 4-5","","","","","February 21, 2007","","","Distance course readings and notes

Box 1
CHYS 1110 - Readings, 2006
EDUC 5481 - Readings, 2006
CHYS 2209 - Readings
CHYS 4416 - Readings
BUSI 4412 - Readings ( 2 folders)
GSPY 6823 - Notes
GEPY 6922/6923 - Readings
BUSI 4424 - Readings, Winter 2005
BUSI 4407 - Readings (2 folders)
NUTR 2240 - Course Readings
GSPY 6823 - Readings

Box 2:
GAED 6256 - Readings, 2001
GAED 6216 - Readings, 2003
BUSI 3325 - Notes and Readings
INTE 3337 - Readings
GAED 6290 - Readings
MATH 1102 - Workbook
BUSI 3316 - Notes
BUSI 2213/2212 - Course notes
GEDU 6170 - Readings
BUSI 4424 - Readings
GSPY 6823 - Readings

Box 3
Workshop 17
GAED 6212 - Readings and notes
BUSI 3338 - Permission to copy
GAED 6202 - Course notes
GAED 6201 - Course notes
GEPY 6922/23
BUSI 2231 - Course book and notes
Readings
GEDU 6170 - Readings
GAED 6204 - Readings
GEPY 6656 - Readings
GAED 6201 - Readings
CHYS 2207 - Readings
ECON 1101 - Notes, 2005-2006
CHYS 2208 - Readings
CHYS 2209 - Readings
Video - Caribbean Convocation, June 2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Distance Learning & Continuing Education","","","","","3 boxes","","","2001-2006","","","","None","","","","","Distance Learning and Continuing Education","","","",""
